"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
E Realty International Corp,Condo for sale,550000.0,1,1,720.0,"88-30 51st Ave Unit 6A","Elmhurst, NY ",New York,40.7392191,-73.874525,"11373"
Keller Williams NYC,Co-op for sale,549999.0,3,1,1020.0,"35-20 82nd St Unit 41","Queens, NY ",New York,40.7517899,-73.88467,"11372"
Skylight Real Estate Consultan,Multi-family home for sale,950000.0,6,3,2184.207862,"136 E 87th St","Brooklyn, NY ",United States,40.6489264,-73.9197127,"11236"
COMPASS,Townhouse for sale,2295000.0,5,4,4043.0,"238 Decatur St","Brooklyn, NY ",United States,40.6812265,-73.9337663,"11233"
Re/Max In The City,Condo for sale,290900.0,2,1,850.0,"5775 Mosholu Ave Apt 7F","Bronx, NY ",New York,40.9058413,-73.8981827,"10471"
Re/Max In The City,Condo for sale,474900.0,2,2,1054.0,"3220 Fairfield Ave Apt 6A","Bronx, NY ",New York,40.8847442,-73.9132482,"10463"
Corcoran Chelsea/Flatiron,Co-op for sale,365000.0,1,1,2184.207862,"175 Rivington St Apt 1A","New York, NY ",New York,40.7187352,-73.9847294,"10002"
TREBACH REALTY INC,Co-op for sale,199000.0,1,1,2184.207862,"601 Kappock St Apt 1P","Bronx, NY ",New York,40.8789773,-73.916004,"10463"
Serhant,Condo for sale,7995000.0,3,4,2789.0,"50 Bridge Park Dr Ph 1C","Brooklyn, NY ",New York,40.692916,-74.0008815,"11201"
Coldwell Banker Reliable,Condo for sale,480000.0,1,1,506.0,"2128 Ocean Ave Apt 5J","Brooklyn, NY ",New York,40.6098786,-73.9536851,"11229"
Corcoran Chelsea/Flatiron,Co-op for sale,1450000.0,2,1,2184.207862,"79 Perry St # F","New York, NY ",United States,40.7355671,-74.0044939,"10014"
Winzone Realty Inc,House for sale,695000.0,3,2,2184.207862,"84-42 85 Rd","Woodhaven, NY ",United States,40.6950378,-73.8602956,"11421"
Arc Realty Llc,House for sale,1249000.0,3,4,2400.0,"1187 Rhinelander Ave","Bronx, NY ",United States,40.8533232,-73.8509691,"10461"
Fave Realty Inc,House for sale,635000.0,3,2,1200.0,"1645 E 92nd St","Brooklyn, NY ",United States,40.6322163,-73.894288,"11236"
TDMT - The Development Marketing Team,Co-op for sale,499000.0,2,1,2184.207862,"167 Havemeyer St Apt 8","Brooklyn, NY ",New York,40.7109875,-73.9577649,"11211"
Geo Real Estate Group Inc,Multi-family home for sale,999000.0,3,6,2184.207862,"590 Maple St","Brooklyn, NY ",United States,40.661217,-73.9412284,"11203"
"Garfield, Leslie J. & Co., Inc.",Townhouse for sale,17995000,6,7,8068.0,"25 W 88th St","New York, NY ",United States,40.7871816,-73.96924,"10024"
Elite Real Estate Group 1 Llc,Multi-family home for sale,875000.0,4,2,2034.0,"2740 Seymour Ave","Bronx, NY ",United States,40.8664714,-73.845984,"10469"
Wonica REALTORS & Appraisers,Multi-family home for sale,739900.0,4,2,2000.0,"41 Clifton St","Staten Island, NY ",United States,40.6066581,-74.1639294,"10314"
EXP Realty,Co-op for sale,409000.0,2,1,2184.207862,"69-60 108th St Unit 501","Forest Hills, NY ",New York,40.7236399,-73.84481,"11375"
Keller Williams Realty Group,Condo for sale,275000.0,2,2,969.0,"1086 E 73rd St Unit 75","Brooklyn, NY ",New York,40.6280579,-73.9171101,"11234"
Elite Realty of USA Inc,Multi-family home for sale,989000.0,4,4,2184.207862,"120-10 135th St","Jamaica, NY ",United States,40.6751744,-73.8037556,"11420"
COMPASS,Townhouse for sale,1750000.0,9,8,5000.0,"104 Jackson St","Brooklyn, NY ",United States,40.7162658,-73.94726,"11211"
COMPASS,Townhouse for sale,3450000.0,6,4,4400.0,"215 W 138th St","Manhattan, NY ",United States,40.8177498,-73.9430199,"10030"
Realty Executives Metro Garden,Co-op for sale,435000.0,2,1,925.0,"66-15 Thornton Pl Unit 3N","Rego Park, NY ",United States,40.7232542,-73.8576166,"11374"
Corcoran Westside Columbus,Co-op for sale,220000.0,2,1,922.0,"3245 Perry Ave Apt 1F","Bronx, NY ",New York,40.8758111,-73.8765929,"10467"
The Bouklis Group - The Bouklis Group Astoria,House for sale,1988800.0,3,4,2071.0,"145-60 5th Ave Unit 1FAM","Whitestone, NY ",New York,40.7400544,-73.9903941,"11357"
Douglas Elliman - 690 Washington,Co-op for sale,3300000.0,2,2,2184.207862,"6 E 68th St Apt 2","New York, NY ",New York,40.769433,-73.9683331,"10065"
AmeriHomes Realty,House for sale,1495000.0,4,2,3000.0,"31 4th Ct","Staten Island, NY ",United States,40.5247627,-74.1681035,"10312"
Douglas Elliman - 187 Seventh Ave,House for sale,3950000.0,5,2,3528.0,"591 4th St","Brooklyn, NY ",United States,40.6680619,-73.9748375,"11215"
qvtopservice,Co-op for sale,135000.0,1,1,792.0,"1040 Neilson St Apt 2H","Far Rockaway, NY ",New York,40.6030799,-73.74755,"11691"
E Realty International Corp,Co-op for sale,468000.0,2,1,1200.0,"88-11 Elmhurst Ave Unit C11","Elmhurst, NY ",New York,40.7455899,-73.8778899,"11373"
Serhant,Townhouse for sale,5999999.0,4,4,4375.0,"310 E 69th St","New York, NY ",United States,40.7665309,-73.9594908,"10021"
Realty Connect USA LLC,Co-op for sale,318000.0,1,1,748.0,"40-40 203rd St Unit 5B","Bayside, NY ",New York,40.7604949,-73.7815883,"11361"
The Bouklis Group - The Bouklis Group,Condo for sale,649000.0,2,1,705.0,"14-43 28th Ave Unit BB1","Astoria, NY ",New York,40.7715328,-73.9273805,"11102"
